;F-Score;Algorithm
Fold 1;0.7027;C50 Literature
Fold 2;0.8000;C50 Literature
Fold 3;0.8571;C50 Literature
Fold 4;0.4516;C50 Literature
Fold 5;0.7059;C50 Literature
Fold 6;0.6829;C50 Literature
Fold 7;0.7568;C50 Literature
Fold 8;0.8387;C50 Literature
Fold 9;0.7857;C50 Literature
Fold 10;0.7222;C50 Literature
Fold 1;0.9189;C50 Target
Fold 2;0.9412;C50 Target
Fold 3;0.9474;C50 Target
Fold 4;0.7500;C50 Target
Fold 5;0.8571;C50 Target
Fold 6;0.9189;C50 Target
Fold 7;1.0000;C50 Target
Fold 8;0.9375;C50 Target
Fold 9;0.9032;C50 Target
Fold 10;0.9143;C50 Target
Fold 1;0.3077;Forest Literature
Fold 2;0.5833;Forest Literature
Fold 3;0.6667;Forest Literature
Fold 4;0.3200;Forest Literature
Fold 5;0.5517;Forest Literature
Fold 6;0.6875;Forest Literature
Fold 7;0.7333;Forest Literature
Fold 8;0.6923;Forest Literature
Fold 9;0.5833;Forest Literature
Fold 10;0.5333;Forest Literature
Fold 1;0.9143;Forest Target
Fold 2;0.9375;Forest Target
Fold 3;0.9714;Forest Target
Fold 4;0.7500;Forest Target
Fold 5;0.9444;Forest Target
Fold 6;0.9189;Forest Target
Fold 7;0.9714;Forest Target
Fold 8;0.9375;Forest Target
Fold 9;0.8276;Forest Target
Fold 10;0.9730;Forest Target
Fold 1;0.1739;e1071 Literature
Fold 2;0.1111;e1071 Literature
Fold 3;0.1905;e1071 Literature
Fold 4;0.1053;e1071 Literature
Fold 5;0.0870;e1071 Literature
Fold 6;0.2400;e1071 Literature
Fold 7;0.2727;e1071 Literature
Fold 8;0.4545;e1071 Literature
Fold 9;0.2105;e1071 Literature
Fold 10;0.2727;e1071 Literature
Fold 1;0.5600;e1071 Target
Fold 2;0.6923;e1071 Target
Fold 3;0.7097;e1071 Target
Fold 4;0.5000;e1071 Target
Fold 5;0.6897;e1071 Target
Fold 6;0.8000;e1071 Target
Fold 7;0.5714;e1071 Target
Fold 8;0.8000;e1071 Target
Fold 9;0.6667;e1071 Target
Fold 10;0.5926;e1071 Target
