@RELATION TEST1

@ATTRIBUTE mutationId NUMERIC
@ATTRIBUTE elementId NUMERIC
@ATTRIBUTE displayed {0,1}
@ATTRIBUTE height NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE top NUMERIC
@ATTRIBUTE left NUMERIC
@ATTRIBUTE activatorTop NUMERIC
@ATTRIBUTE activatorLeft NUMERIC
@ATTRIBUTE distanceTop NUMERIC
@ATTRIBUTE distanceLeft NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE numberElements NUMERIC
@ATTRIBUTE elements_per_size NUMERIC
@ATTRIBUTE numberWords NUMERIC
@ATTRIBUTE textNodes NUMERIC
@ATTRIBUTE words_per_textNodes NUMERIC
@ATTRIBUTE table {0,1}
@ATTRIBUTE list {0,1}
@ATTRIBUTE input {0,1}
@ATTRIBUTE widgetName {0,1}
@ATTRIBUTE date {0,1}
@ATTRIBUTE img {0,1}
@ATTRIBUTE proportionNumbers NUMERIC
@ATTRIBUTE links80percent NUMERIC
@ATTRIBUTE Result {0,1}

@DATA
20,226,1,465,999,305,557,677,347,403,0,0,171,0.00056121695465957800,112,112,1,0,0,0,0,0,1,0.0,0,1
14,139,1,87,125,170,1137,135,1137,0,94,0,4,0.00018823529411764700,12,9,1.3333333333,0,0,0,1,0,0,0.0,0,1
11,251,1,360,755,299,552,390,352,128,0,0,116,0.00051385412744468300,633,210,3.0142857143,0,1,0,0,0,1,0.0,1,1
20,49,1,1212,220,97,780,282,561,216,-1,-1,25,0.00117150890346767000,25,9,2.7777777778,0,0,0,1,0,0,0.0,0,1
19,49,1,1146,220,97,780,251,561,185,-1,-1,16,0.00074976569821930700,9,6,1.5,0,0,0,1,0,0,0.0,0,1
191,1140,1,500,852,199,522,635,322,467,0,0,133,0.00078443862505013300,4904,242,20.2644628099,0,0,0,0,0,1,0.0,0,1
107,202,1,391,376,190,1071,150,455,0,-538,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0.0,0,1
184,718,1,500,852,199,522,417,322,250,0,0,186,0.00109703446811522000,6586,340,19.3705882353,0,0,0,0,0,1,0.0,0,1
12,224,1,360,755,299,552,419,352,157,0,0,129,0.00057144122793417400,698,236,2.9576271186,0,1,0,0,0,1,0.0,1,1
7,388,1,188,1212,79,345,49,1472,0,1212,0,143,0.00149350378075782000,90,89,1.0112359551,0,0,0,0,0,0,0.0,0,1
185,782,1,500,852,199,522,448,322,280,0,0,214,0.00126217944180999000,7809,393,19.8702290076,0,0,0,0,0,1,0.0,0,1
15,2,1,227,972,147,457,111,457,1,84,-1,64,0.00044791579183113600,127,80,1.5875,0,1,0,0,0,0,0.0,0,1
39,114,1,525,499,95,258,224,30,152,-12,-12,46,0.00097036177618394700,2039,87,23.4367816092,0,0,0,0,0,1,0.0,0,1
42,186,1,525,499,95,258,303,30,231,-12,-12,33,0.00069612910030587500,1455,61,23.8524590164,0,0,0,0,0,1,0.0,0,1
189,1030,1,500,852,199,522,573,322,405,0,0,98,0.00057800740793167700,4009,187,21.4385026738,0,0,0,0,0,1,0.0,0,1
