NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","132","6070","45","44","0.745762711864407","0.75","0.747875354107649"
"Fold","13","605","6","5","0.684210526315789","0.722222222222222","0.702702702702703"
"Fold","12","611","1","5","0.923076923076923","0.705882352941177","0.8"
"Fold","15","609","2","3","0.882352941176471","0.833333333333333","0.857142857142857"
"Fold","7","605","7","10","0.5","0.411764705882353","0.451612903225806"
"Fold","12","607","4","6","0.75","0.666666666666667","0.705882352941177"
"Fold","14","602","9","4","0.608695652173913","0.777777777777778","0.682926829268293"
"Fold","14","607","5","4","0.736842105263158","0.777777777777778","0.756756756756757"
"Fold","13","611","1","4","0.928571428571429","0.764705882352941","0.838709677419355"
"Fold","11","612","0","6","1","0.647058823529412","0.785714285714286"
"Fold","13","606","5","5","0.722222222222222","0.722222222222222","0.722222222222222"
"Test","30","998","2","10","0.9375","0.75","0.833333333333333"
