NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","165","6109","6","11","0.964912280701754","0.9375","0.951008645533141"
"Fold","17","607","4","1","0.80952380952381","0.944444444444444","0.871794871794872"
"Fold","16","610","2","1","0.888888888888889","0.941176470588235","0.914285714285714"
"Fold","16","609","2","2","0.888888888888889","0.888888888888889","0.888888888888889"
"Fold","16","612","0","1","1","0.941176470588235","0.96969696969697"
"Fold","18","609","3","0","0.857142857142857","1","0.923076923076923"
"Fold","16","609","2","2","0.888888888888889","0.888888888888889","0.888888888888889"
"Fold","14","612","0","3","1","0.823529411764706","0.903225806451613"
"Fold","14","609","2","4","0.875","0.777777777777778","0.823529411764706"
"Fold","17","612","0","1","1","0.944444444444444","0.971428571428571"
"Fold","15","610","1","2","0.9375","0.882352941176471","0.909090909090909"
"CV Avg","15.9","609.9","1.6","1.7","0.914583333333333","0.903267973856209","0.906390695536806"
"Test","31","997","3","9","0.911764705882353","0.775","0.837837837837838"
