"F.Score";"Algorithm"
"0.666666666666667";"C50 Literature"
"0.689655172413793";"C50 Literature"
"0.666666666666667";"C50 Literature"
"0.684210526315789";"C50 Literature"
"0.65";"C50 Literature"
"0.5";"C50 Literature"
"0.722222222222222";"C50 Literature"
"0.857142857142857";"C50 Literature"
"0.727272727272727";"C50 Literature"
"0.875";"C50 Literature"
"0.909090909090909";"C50 Target"
"0.903225806451613";"C50 Target"
"0.909090909090909";"C50 Target"
"0.8125";"C50 Target"
"0.82051282051282";"C50 Target"
"0.914285714285714";"C50 Target"
"0.864864864864865";"C50 Target"
"0.972972972972973";"C50 Target"
"0.918918918918919";"C50 Target"
"0.941176470588235";"C50 Target"
"0.6";"Forest Literature"
"0.56";"Forest Literature"
"0.434782608695652";"Forest Literature"
"0.689655172413793";"Forest Literature"
"0.4";"Forest Literature"
"0.37037037037037";"Forest Literature"
"0.571428571428571";"Forest Literature"
"0.714285714285714";"Forest Literature"
"0.645161290322581";"Forest Literature"
"0.56";"Forest Literature"
"0.866666666666667";"Forest Target"
"0.9375";"Forest Target"
"0.941176470588235";"Forest Target"
"0.971428571428571";"Forest Target"
"0.918918918918919";"Forest Target"
"0.909090909090909";"Forest Target"
"0.914285714285714";"Forest Target"
"0.972972972972973";"Forest Target"
"0.882352941176471";"Forest Target"
"0.941176470588235";"Forest Target"
"0.0869565217391304";"e1071 Literature"
"0";"e1071 Literature"
"0.2";"e1071 Literature"
"0.333333333333333";"e1071 Literature"
"0.25";"e1071 Literature"
"0.1";"e1071 Literature"
"0.0909090909090909";"e1071 Literature"
"0.416666666666667";"e1071 Literature"
"0.285714285714286";"e1071 Literature"
"0.2";"e1071 Literature"
"0.709677419354839";"e1071 Target"
"0.583333333333333";"e1071 Target"
"0.666666666666667";"e1071 Target"
"0.642857142857143";"e1071 Target"
"0.740740740740741";"e1071 Target"
"0.5";"e1071 Target"
"0.538461538461539";"e1071 Target"
"0.838709677419355";"e1071 Target"
"0.689655172413793";"e1071 Target"
"0.666666666666667";"e1071 Target"
