NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","115","6109","6","61","0.950413223140496","0.653409090909091","0.774410774410774"
"Fold","8","611","0","9","1","0.470588235294118","0.64"
"Fold","9","609","3","9","0.75","0.5","0.6"
"Fold","7","611","0","10","1","0.411764705882353","0.583333333333333"
"Fold","10","611","1","8","0.909090909090909","0.555555555555556","0.689655172413793"
"Fold","4","609","3","14","0.571428571428571","0.222222222222222","0.32"
"Fold","8","606","5","10","0.615384615384615","0.444444444444444","0.516129032258065"
"Fold","11","611","1","6","0.916666666666667","0.647058823529412","0.758620689655172"
"Fold","6","611","0","11","1","0.352941176470588","0.521739130434783"
"Fold","9","609","3","9","0.75","0.5","0.6"
"Fold","7","608","3","11","0.7","0.388888888888889","0.5"
"CV Avg","7.9","609.6","1.9","9.7","0.821257076257076","0.449346405228758","0.572947735809515"
"Test","18","997","3","22","0.857142857142857","0.45","0.590163934426229"
