NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","176","6115","0","0","1","1","1"
"Fold","16","610","1","2","0.941176470588235","0.888888888888889","0.914285714285714"
"Fold","15","612","0","2","1","0.882352941176471","0.9375"
"Fold","17","611","0","1","1","0.944444444444444","0.971428571428571"
"Fold","12","609","3","5","0.8","0.705882352941177","0.75"
"Fold","17","610","1","1","0.944444444444444","0.944444444444444","0.944444444444444"
"Fold","17","609","2","1","0.894736842105263","0.944444444444444","0.918918918918919"
"Fold","17","612","0","1","1","0.944444444444444","0.971428571428571"
"Fold","15","612","0","2","1","0.882352941176471","0.9375"
"Fold","12","612","0","5","1","0.705882352941177","0.827586206896552"
"Fold","18","610","1","0","0.947368421052632","1","0.972972972972973"
"Test","40","1000","0","0","1","1","1"
