NA,C50L,C50T,ForestL,ForestT,e1071L,e1071T
Trainning,0.75,0.9375,0.636363636363636,1,0.8125,0.528409090909091
Fold 1,0.705882352941177,0.882352941176471,0.529411764705882,0.764705882352941,0.0588235294117647,0.647058823529412
Fold 2,0.588235294117647,0.823529411764706,0.411764705882353,0.882352941176471,0,0.411764705882353
Fold 3,0.611111111111111,0.833333333333333,0.277777777777778,0.888888888888889,0.111111111111111,0.5
Fold 4,0.722222222222222,0.722222222222222,0.555555555555556,0.944444444444444,0.222222222222222,0.5
Fold 5,0.764705882352941,0.941176470588235,0.294117647058824,1,0.176470588235294,0.588235294117647
Fold 6,0.470588235294118,0.941176470588235,0.294117647058824,0.882352941176471,0.0588235294117647,0.352941176470588
Fold 7,0.722222222222222,0.888888888888889,0.444444444444444,0.888888888888889,0.0555555555555556,0.388888888888889
Fold 8,0.833333333333333,1,0.555555555555556,1,0.277777777777778,0.722222222222222
Fold 9,0.666666666666667,0.944444444444444,0.555555555555556,0.833333333333333,0.166666666666667,0.555555555555556
Fold 10,0.777777777777778,0.888888888888889,0.388888888888889,0.888888888888889,0.111111111111111,0.5
CV all,0.686274509803922,0.886601307189542,0.430718954248366,0.897385620915033,0.123856209150327,0.516666666666667
Test,0.7,0.925,0.425,0.875,0.125,0.4
