NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","143","6113","2","33","0.986206896551724","0.8125","0.890965732087227"
"Fold","1","611","0","17","1","0.0555555555555556","0.105263157894737"
"Fold","3","610","2","14","0.6","0.176470588235294","0.272727272727273"
"Fold","2","611","0","16","1","0.111111111111111","0.2"
"Fold","3","608","4","14","0.428571428571429","0.176470588235294","0.25"
"Fold","0","611","1","18","0","0","NaN"
"Fold","2","606","5","16","0.285714285714286","0.111111111111111","0.16"
"Fold","3","608","4","14","0.428571428571429","0.176470588235294","0.25"
"Fold","4","610","1","14","0.8","0.222222222222222","0.347826086956522"
"Fold","2","610","2","16","0.5","0.111111111111111","0.181818181818182"
"Fold","4","611","0","13","1","0.235294117647059","0.380952380952381"
"CV Avg","2.4","609.6","1.9","15.2","0.604285714285714","0.137581699346405","NaN"
"Test","5","999","1","35","0.833333333333333","0.125","0.217391304347826"
