NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","93","6108","7","83","0.93","0.528409090909091","0.673913043478261"
"Fold","8","609","2","9","0.8","0.470588235294118","0.592592592592593"
"Fold","8","612","0","10","1","0.444444444444444","0.615384615384615"
"Fold","8","611","0","9","1","0.470588235294118","0.64"
"Fold","11","612","0","7","1","0.611111111111111","0.758620689655172"
"Fold","12","612","0","6","1","0.666666666666667","0.8"
"Fold","10","611","0","8","1","0.555555555555556","0.714285714285714"
"Fold","9","612","0","8","1","0.529411764705882","0.692307692307692"
"Fold","8","609","2","9","0.8","0.470588235294118","0.592592592592593"
"Fold","8","610","2","10","0.8","0.444444444444444","0.571428571428571"
"Fold","9","610","1","9","0.9","0.5","0.642857142857143"
"CV Avg","9.1","610.8","0.7","8.5","0.93","0.516339869281046","0.662006961110409"
"Test","16","999","1","24","0.941176470588235","0.4","0.56140350877193"
